"","senator","seniority_date","term","party","state","dob"
"2761","William Langer","January 3, 1941",77,NA,NA,"1886-09-30"
"2762","Harold H. Burton","January 3, 1941",77,NA,NA,"1888-06-22"
"2763","Raymond E. Willis","January 3, 1941",77,NA,NA,"1875-08-11"
"2764","Harley M. Kilgore","January 3, 1941",77,NA,NA,"1893-01-11"
"2765","Hugh A. Butler","January 3, 1941",77,NA,NA,"1878-02-28"
"2766","Ernest McFarland","January 3, 1941",77,NA,NA,"1894-10-09"
"2767","James M. Tunnell","January 3, 1941",77,NA,NA,"1879-08-02"
"2768","George Aiken","January 10, 1941",77,NA,NA,"1892-08-20"
"2769","Ellison D. Smith","March 4, 1909",78,NA,NA,"1864-08-01"
"2770","Kenneth McKellar","March 4, 1917",78,NA,NA,"1869-01-29"
"2771","Hiram Johnson","March 16, 1917",78,NA,NA,"1866-09-02"
"2772","Charles L. McNary","December 18, 1918",78,NA,NA,"1874-06-12"
"2773","Arthur Capper","March 4, 1919",78,NA,NA,"1865-07-14"
"2774","Carter Glass","February 2, 1920",78,NA,NA,"1858-01-04"
"2775","Walter F. George","November 22, 1922",78,NA,NA,"1878-01-29"
"2776","Henrik Shipstead","March 4, 1923",78,NA,NA,"1881-01-08"
"2777","Burton K. Wheeler","March 4, 1923",78,NA,NA,"1882-02-27"
"2778","Robert M. La Follette Jr.","September 30, 1925",78,NA,NA,"1895-02-06"
"2779","Gerald Nye","November 14, 1925",78,NA,NA,"1892-12-19"
"2780","David I. Walsh","December 6, 1926",78,NA,NA,"1872-11-11"
"2781","Carl Hayden","March 4, 1927",78,NA,NA,"1877-10-02"
"2782","Alben W. Barkley","March 4, 1927",78,NA,NA,"1877-11-24"
"2783","Elmer Thomas","March 4, 1927",78,NA,NA,"1876-09-08"
"2784","Millard Tydings","March 4, 1927",78,NA,NA,"1890-04-06"
"2785","Robert F. Wagner","March 4, 1927",78,NA,NA,"1877-06-08"
"2786","Arthur H. Vandenberg","March 31, 1928",78,NA,NA,"1884-03-22"
"2787","Tom Connally","March 4, 1929",78,NA,NA,"1877-08-19"
"2788","James J. Davis","December 2, 1930",78,NA,NA,"1873-10-27"
"2789","Wallace H. White Jr.","March 4, 1931",78,NA,NA,"1877-08-06"
"2790","Josiah W. Bailey","March 4, 1931",78,NA,NA,"1873-09-14"
"2791","John H. Bankhead II","March 4, 1931",78,NA,NA,"1872-07-08"
"2792","Warren Austin","April 1, 1931",78,NA,NA,"1877-11-12"
"2793","Hattie Caraway","November 13, 1931",78,NA,NA,"1878-02-01"
"2794","Robert R. Reynolds","December 5, 1932",78,NA,NA,"1884-06-18"
"2795","Richard Russell Jr.","January 12, 1933",78,NA,NA,"1897-11-02"
"2796","Bennett Champ Clark","February 4, 1933",78,NA,NA,"1890-01-08"
"2797","John H. Overton","March 4, 1933",78,NA,NA,"1875-09-17"
"2798","Harry F. Byrd Sr.","March 4, 1933",78,NA,NA,"1887-06-10"
"2799","Frederick Van Nuys","March 4, 1933",78,NA,NA,"1874-04-16"
"2800","Homer T. Bone","March 4, 1933",78,NA,NA,"1883-01-25"
"2801","Elbert D. Thomas","March 4, 1933",78,NA,NA,"1883-06-17"
"2802","Pat McCarran","March 4, 1933",78,NA,NA,"1876-08-08"
"2803","Carl Hatch","October 10, 1933",78,NA,NA,"1889-11-27"
"2804","Joseph C. O'Mahoney","January 1, 1934",78,NA,NA,"1884-11-05"
"2805","James Murray","November 7, 1934",78,NA,NA,"1876-05-03"
"2806","Peter G. Gerry","January 3, 1935",78,NA,NA,"1879-09-18"
"2807","George L. P. Radcliffe","January 3, 1935",78,NA,NA,"1877-08-22"
"2808","Theodore G. Bilbo","January 3, 1935",78,NA,NA,"1877-10-13"
"2809","Joseph F. Guffey","January 3, 1935",78,NA,NA,"1870-12-29"
"2810","Harry S. Truman","January 3, 1935",78,NA,NA,"1884-05-08"
"2811","Francis T. Maloney","January 3, 1935",78,NA,NA,"1894-03-31"
"2812","Dennis Chavez","May 11, 1935",78,NA,NA,"1888-04-08"
"2813","Guy Mark Gillette","November 4, 1936",78,NA,NA,"1879-02-03"
"2814","Charles O. Andrews","November 4, 1936",78,NA,NA,"1877-03-07"
"2815","Claude Pepper","November 4, 1936",78,NA,NA,"1900-09-08"
"2816","Edwin C. Johnson","January 3, 1937",78,NA,NA,"1884-01-01"
"2817","Theodore F. Green","January 3, 1937",78,NA,NA,"1867-10-02"
"2818","Styles Bridges","January 3, 1937",78,NA,NA,"1898-09-09"
"2819","Henry Cabot Lodge Jr.","January 3, 1937",78,NA,NA,"1902-07-05"
"2820","Allen J. Ellender","January 3, 1937",78,NA,NA,"1890-09-24"
"2821","Joseph L. Hill","January 11, 1938",78,NA,NA,"1894-12-29"
"2822","William Warren Barbour","November 9, 1938",78,NA,NA,"1888-07-31"
"2823","Tom Stewart","November 9, 1938",78,NA,NA,"1892-01-11"
"2824","James M. Mead","December 3, 1938",78,NA,NA,"1885-12-27"
"2825","Scott W. Lucas","January 3, 1939",78,NA,NA,"1892-02-19"
"2826","D. Worth Clark","January 3, 1939",78,NA,NA,"1902-04-02"
"2827","Charles W. Tobey","January 3, 1939",78,NA,NA,"1880-07-22"
"2828","Clyde M. Reed","January 3, 1939",78,NA,NA,"1871-10-19"
"2829","Robert A. Taft","January 3, 1939",78,NA,NA,"1889-09-08"
"2830","Sheridan Downey","January 3, 1939",78,NA,NA,"1884-03-11"
"2831","Alexander Wiley","January 3, 1939",78,NA,NA,"1884-05-26"
"2832","John A. Danaher","January 3, 1939",78,NA,NA,"1899-01-09"
"2833","Rufus C. Holman","January 3, 1939",78,NA,NA,"1877-10-14"
"2834","John Chandler Gurney","January 3, 1939",78,NA,NA,"1896-05-21"
"2835","Albert B. Chandler","October 9, 1939",78,NA,NA,"1898-07-14"
"2836","John Thomas","January 27, 1940",78,NA,NA,"1874-01-04"
"2837","C. Wayland Brooks","November 22, 1940",78,NA,NA,"1897-03-08"
"2838","Monrad C. Wallgren","December 19, 1940",78,NA,NA,"1891-04-17"
"2839","Abe Murdock","January 3, 1941",78,NA,NA,"1893-07-18"
"2840","Ralph Owen Brewster","January 3, 1941",78,NA,NA,"1888-02-22"
"2841","William Langer","January 3, 1941",78,NA,NA,"1886-09-30"
"2842","Harold H. Burton","January 3, 1941",78,NA,NA,"1888-06-22"
"2843","Raymond E. Willis","January 3, 1941",78,NA,NA,"1875-08-11"
"2844","Harley M. Kilgore","January 3, 1941",78,NA,NA,"1893-01-11"
"2845","Hugh A. Butler","January 3, 1941",78,NA,NA,"1878-02-28"
"2846","Ernest McFarland","January 3, 1941",78,NA,NA,"1894-10-09"
"2847","James M. Tunnell","January 3, 1941",78,NA,NA,"1879-08-02"
"2848","George Aiken","January 10, 1941",78,NA,NA,"1892-08-20"
"2849","W. Lee O'Daniel","August 4, 1941",78,NA,NA,"1890-03-11"
"2850","Burnet R. Maybank","November 5, 1941",78,NA,NA,"1899-03-07"
"2851","Eugene D. Millikin","December 20, 1941",78,NA,NA,"1891-02-12"
"2852","James G. Scrugham","December 7, 1942",78,NA,NA,"1880-01-19"
"2853","Joseph H. Ball","January 3, 1943",78,NA,NA,"1905-11-03"
"2854","James Eastland","January 3, 1943",78,NA,NA,"1904-11-28"
"2855","John Little McClellan","January 3, 1943",78,NA,NA,"1896-02-25"
"2856","Harlan J. Bushfield","January 3, 1943",78,NA,NA,"1882-08-06"
"2857","C. Douglass Buck","January 3, 1943",78,NA,NA,"1890-03-21"
"2858","Homer S. Ferguson","January 3, 1943",78,NA,NA,"1889-02-25"
"2859","Albert W. Hawkes","January 3, 1943",78,NA,NA,"1878-11-20"
"2860","Edward H. Moore","January 3, 1943",78,NA,NA,"1871-11-19"
"2861","W. Chapman Revercomb","January 3, 1943",78,NA,NA,"1895-07-20"
"2862","Kenneth S. Wherry","January 3, 1943",78,NA,NA,"1892-02-28"
"2863","Edward V. Robertson","January 3, 1943",78,NA,NA,"1881-05-27"
"2864","George A. Wilson","January 14, 1943",78,NA,NA,"1884-04-01"
"2865","Kenneth McKellar","March 4, 1917",79,NA,NA,"1869-01-29"
"2866","Hiram Johnson","March 16, 1917",79,NA,NA,"1866-09-02"
"2867","Arthur Capper","March 4, 1919",79,NA,NA,"1865-07-14"
"2868","Carter Glass","February 2, 1920",79,NA,NA,"1858-01-04"
"2869","Walter F. George","November 22, 1922",79,NA,NA,"1878-01-29"
"2870","Henrik Shipstead","March 4, 1923",79,NA,NA,"1881-01-08"
"2871","Burton K. Wheeler","March 4, 1923",79,NA,NA,"1882-02-27"
"2872","Robert M. La Follette, Jr.","September 30, 1925",79,NA,NA,"1895-02-06"
"2873","David I. Walsh","December 6, 1926",79,NA,NA,"1872-11-11"
"2874","Carl Hayden","March 4, 1927",79,NA,NA,"1877-10-02"
"2875","Alben W. Barkley","March 4, 1927",79,NA,NA,"1877-11-24"
"2876","Elmer Thomas","March 4, 1927",79,NA,NA,"1876-09-08"
"2877","Millard Tydings","March 4, 1927",79,NA,NA,"1890-04-06"
"2878","Robert F. Wagner","March 4, 1927",79,NA,NA,"1877-06-08"
"2879","Arthur H. Vandenberg","March 31, 1928",79,NA,NA,"1884-03-22"
"2880","Tom Connally","March 4, 1929",79,NA,NA,"1877-08-19"
"2881","Wallace H. White, Jr.","March 4, 1931",79,NA,NA,"1877-08-06"
"2882","Josiah W. Bailey","March 4, 1931",79,NA,NA,"1873-09-14"
"2883","John H. Bankhead II","March 4, 1931",79,NA,NA,"1872-07-08"
"2884","Warren Austin","April 1, 1931",79,NA,NA,"1877-11-12"
"2885","Richard Russell, Jr.","January 12, 1933",79,NA,NA,"1897-11-02"
"2886","John H. Overton","March 4, 1933",79,NA,NA,"1875-09-17"
"2887","Harry F. Byrd, Sr.","March 4, 1933",79,NA,NA,"1887-06-10"
"2888","Elbert D. Thomas","March 4, 1933",79,NA,NA,"1883-06-17"
"2889","Pat McCarran","March 4, 1933",79,NA,NA,"1876-08-08"
"2890","Carl Hatch","October 10, 1933",79,NA,NA,"1889-11-27"
"2891","Joseph C. O'Mahoney","January 1, 1934",79,NA,NA,"1884-11-05"
"2892","James Murray","November 7, 1934",79,NA,NA,"1876-05-03"
"2893","Peter G. Gerry","January 3, 1935",79,NA,NA,"1879-09-18"
"2894","George L. P. Radcliffe","January 3, 1935",79,NA,NA,"1877-08-22"
"2895","Theodore G. Bilbo","January 3, 1935",79,NA,NA,"1877-10-13"
"2896","Joseph F. Guffey","January 3, 1935",79,NA,NA,"1870-12-29"
"2897","Harry S. Truman","January 3, 1935",79,NA,NA,"1884-05-08"
"2898","Francis T. Maloney","January 3, 1935",79,NA,NA,"1894-03-31"
"2899","Dennis Chavez","May 11, 1935",79,NA,NA,"1888-04-08"
"2900","Charles O. Andrews","November 4, 1936",79,NA,NA,"1877-03-07"
"2901","Claude Pepper","November 4, 1936",79,NA,NA,"1900-09-08"
"2902","Edwin C. Johnson","January 3, 1937",79,NA,NA,"1884-01-01"
"2903","Theodore F. Green","January 3, 1937",79,NA,NA,"1867-10-02"
"2904","Styles Bridges","January 3, 1937",79,NA,NA,"1898-09-09"
"2905","Allen J. Ellender","January 3, 1937",79,NA,NA,"1890-09-24"
"2906","Joseph L. Hill","January 11, 1938",79,NA,NA,"1894-12-29"
"2907","Tom Stewart","November 9, 1938",79,NA,NA,"1892-01-11"
"2908","James M. Mead","December 3, 1938",79,NA,NA,"1885-12-27"
"2909","Scott W. Lucas","January 3, 1939",79,NA,NA,"1892-02-19"
"2910","Charles W. Tobey","January 3, 1939",79,NA,NA,"1880-07-22"
"2911","Clyde M. Reed","January 3, 1939",79,NA,NA,"1871-10-19"
"2912","Robert A. Taft","January 3, 1939",79,NA,NA,"1889-09-08"
"2913","Sheridan Downey","January 3, 1939",79,NA,NA,"1884-03-11"
"2914","Alexander Wiley","January 3, 1939",79,NA,NA,"1884-05-26"
"2915","John Chandler Gurney","January 3, 1939",79,NA,NA,"1896-05-21"
"2916","Albert B. Chandler","October 9, 1939",79,NA,NA,"1898-07-14"
"2917","John Thomas","January 27, 1940",79,NA,NA,"1874-01-04"
"2918","C. Wayland Brooks","November 22, 1940",79,NA,NA,"1897-03-08"
"2919","Monrad C. Wallgren","December 19, 1940",79,NA,NA,"1891-04-17"
"2920","Abe Murdock","January 3, 1941",79,NA,NA,"1893-07-18"
"2921","Ralph Owen Brewster","January 3, 1941",79,NA,NA,"1888-02-22"
"2922","William Langer","January 3, 1941",79,NA,NA,"1886-09-30"
"2923","Harold H. Burton","January 3, 1941",79,NA,NA,"1888-06-22"
"2924","Raymond E. Willis","January 3, 1941",79,NA,NA,"1875-08-11"
"2925","Harley M. Kilgore","January 3, 1941",79,NA,NA,"1893-01-11"
"2926","Hugh A. Butler","January 3, 1941",79,NA,NA,"1878-02-28"
"2927","Ernest McFarland","January 3, 1941",79,NA,NA,"1894-10-09"
"2928","James M. Tunnell","January 3, 1941",79,NA,NA,"1879-08-02"
"2929","George Aiken","January 10, 1941",79,NA,NA,"1892-08-20"
"2930","W. Lee O'Daniel","August 4, 1941",79,NA,NA,"1890-03-11"
"2931","Burnet R. Maybank","November 5, 1941",79,NA,NA,"1899-03-07"
"2932","Eugene D. Millikin","December 20, 1941",79,NA,NA,"1891-02-12"
"2933","James G. Scrugham","December 7, 1942",79,NA,NA,"1880-01-19"
"2934","Joseph H. Ball","January 3, 1943",79,NA,NA,"1905-11-03"
"2935","James Eastland","January 3, 1943",79,NA,NA,"1904-11-28"
"2936","John Little McClellan","January 3, 1943",79,NA,NA,"1896-02-25"
"2937","Harlan J. Bushfield","January 3, 1943",79,NA,NA,"1882-08-06"
"2938","C. Douglass Buck","January 3, 1943",79,NA,NA,"1890-03-21"
"2939","Homer S. Ferguson","January 3, 1943",79,NA,NA,"1889-02-25"
"2940","Albert W. Hawkes","January 3, 1943",79,NA,NA,"1878-11-20"
"2941","Edward H. Moore","January 3, 1943",79,NA,NA,"1871-11-19"
"2942","W. Chapman Revercomb","January 3, 1943",79,NA,NA,"1895-07-20"
"2943","Kenneth S. Wherry","January 3, 1943",79,NA,NA,"1892-02-28"
"2944","Edward V. Robertson","January 3, 1943",79,NA,NA,"1881-05-27"
"2945","George A. Wilson","January 14, 1943",79,NA,NA,"1884-04-01"
"2946","Guy Cordon","March 4, 1944",79,NA,NA,"1890-04-24"
"2947","Howard A. Smith","December 7, 1944",79,NA,NA,"1883-02-02"
"2948","Warren G. Magnuson","December 14, 1944",79,NA,NA,"1905-04-12"
"2949","Francis J. Myers","January 3, 1945",79,NA,NA,"1901-12-18"
"2950","J. William Fulbright","January 3, 1945",79,NA,NA,"1905-04-09"
"2951","Clyde R. Hoey","January 3, 1945",79,NA,NA,"1877-12-11"
"2952","Forrest C. Donnell","January 3, 1945",79,NA,NA,"1884-08-20"
"2953","Bourke B. Hickenlooper","January 3, 1945",79,NA,NA,"1896-07-21"
"2954","Olin D. Johnston","January 3, 1945",79,NA,NA,"1896-11-18"
"2955","John Moses","January 3, 1945",79,NA,NA,"1885-06-12"
"2956","Homer E. Capehart","January 3, 1945",79,NA,NA,"1897-06-06"
"2957","Brien McMahon","January 3, 1945",79,NA,NA,"1903-10-06"
"2958","Wayne Morse","January 3, 1945",79,NA,NA,"1900-10-20"
"2959","Glen H. Taylor","January 3, 1945",79,NA,NA,"1904-04-12"
"2960","Leverett Saltonstall","January 4, 1945",79,NA,NA,"1892-09-01"
"2961","Kenneth McKellar","March 4, 1917",80,NA,NA,"1869-01-29"
"2962","Arthur Capper","March 4, 1919",80,NA,NA,"1865-07-14"
"2963","Walter F. George","November 22, 1922",80,NA,NA,"1878-01-29"
"2964","Carl Hayden","March 4, 1927",80,NA,NA,"1877-10-02"
"2965","Alben W. Barkley","March 4, 1927",80,NA,NA,"1877-11-24"
"2966","Elmer Thomas","March 4, 1927",80,NA,NA,"1876-09-08"
"2967","Millard Tydings","March 4, 1927",80,NA,NA,"1890-04-06"
"2968","Robert F. Wagner","March 4, 1927",80,NA,NA,"1877-06-08"
"2969","Arthur H. Vandenberg","March 31, 1928",80,NA,NA,"1884-03-22"
"2970","Tom Connally","March 4, 1929",80,NA,NA,"1877-08-19"
"2971","Wallace H. White Jr.","March 4, 1931",80,NA,NA,"1877-08-06"
"2972","Richard Russell Jr.","January 12, 1933",80,NA,NA,"1897-11-02"
"2973","John H. Overton","March 4, 1933",80,NA,NA,"1875-09-17"
"2974","Harry F. Byrd Sr.","March 4, 1933",80,NA,NA,"1887-06-10"
"2975","Elbert D. Thomas","March 4, 1933",80,NA,NA,"1883-06-17"
"2976","Pat McCarran","March 4, 1933",80,NA,NA,"1876-08-08"
"2977","Carl Hatch","October 10, 1933",80,NA,NA,"1889-11-27"
"2978","Joseph C. O'Mahoney","January 1, 1934",80,NA,NA,"1884-11-05"
"2979","James Murray","November 7, 1934",80,NA,NA,"1876-05-03"
"2980","Theodore G. Bilbo","January 3, 1935",80,NA,NA,"1877-10-13"
"2981","Dennis Chavez","May 11, 1935",80,NA,NA,"1888-04-08"
"2982","Claude Pepper","November 4, 1936",80,NA,NA,"1900-09-08"
"2983","Edwin C. Johnson","January 3, 1937",80,NA,NA,"1884-01-01"
"2984","Theodore F. Green","January 3, 1937",80,NA,NA,"1867-10-02"
"2985","Styles Bridges","January 3, 1937",80,NA,NA,"1898-09-09"
"2986","Allen J. Ellender","January 3, 1937",80,NA,NA,"1890-09-24"
"2987","Joseph L. Hill","January 11, 1938",80,NA,NA,"1894-12-29"
"2988","Tom Stewart","November 9, 1938",80,NA,NA,"1892-01-11"
"2989","Scott W. Lucas","January 3, 1939",80,NA,NA,"1892-02-19"
"2990","Charles W. Tobey","January 3, 1939",80,NA,NA,"1880-07-22"
"2991","Clyde M. Reed","January 3, 1939",80,NA,NA,"1871-10-19"
"2992","Robert A. Taft","January 3, 1939",80,NA,NA,"1889-09-08"
"2993","Sheridan Downey","January 3, 1939",80,NA,NA,"1884-03-11"
"2994","Alexander Wiley","January 3, 1939",80,NA,NA,"1884-05-26"
"2995","John Chandler Gurney","January 3, 1939",80,NA,NA,"1896-05-21"
"2996","C. Wayland Brooks","November 22, 1940",80,NA,NA,"1897-03-08"
"2997","Ralph Owen Brewster","January 3, 1941",80,NA,NA,"1888-02-22"
"2998","William Langer","January 3, 1941",80,NA,NA,"1886-09-30"
"2999","Harley M. Kilgore","January 3, 1941",80,NA,NA,"1893-01-11"
"3000","Hugh A. Butler","January 3, 1941",80,NA,NA,"1878-02-28"
"3001","Ernest McFarland","January 3, 1941",80,NA,NA,"1894-10-09"
"3002","George Aiken","January 10, 1941",80,NA,NA,"1892-08-20"
"3003","W. Lee O'Daniel","August 4, 1941",80,NA,NA,"1890-03-11"
"3004","Burnet R. Maybank","November 5, 1941",80,NA,NA,"1899-03-07"
"3005","Eugene D. Millikin","December 20, 1941",80,NA,NA,"1891-02-12"
"3006","Joseph H. Ball","January 3, 1943",80,NA,NA,"1905-11-03"
"3007","James Eastland","January 3, 1943",80,NA,NA,"1904-11-28"
"3008","John Little McClellan","January 3, 1943",80,NA,NA,"1896-02-25"
"3009","Harlan J. Bushfield","January 3, 1943",80,NA,NA,"1882-08-06"
"3010","C. Douglass Buck","January 3, 1943",80,NA,NA,"1890-03-21"
"3011","Homer S. Ferguson","January 3, 1943",80,NA,NA,"1889-02-25"
"3012","Albert W. Hawkes","January 3, 1943",80,NA,NA,"1878-11-20"
"3013","Edward H. Moore","January 3, 1943",80,NA,NA,"1871-11-19"
"3014","W. Chapman Revercomb","January 3, 1943",80,NA,NA,"1895-07-20"
"3015","Kenneth S. Wherry","January 3, 1943",80,NA,NA,"1892-02-28"
"3016","Edward V. Robertson","January 3, 1943",80,NA,NA,"1881-05-27"
"3017","George A. Wilson","January 14, 1943",80,NA,NA,"1884-04-01"
"3018","Guy Cordon","March 4, 1944",80,NA,NA,"1890-04-24"
"3019","Howard A. Smith","December 7, 1944",80,NA,NA,"1883-02-02"
"3020","Warren G. Magnuson","December 14, 1944",80,NA,NA,"1905-04-12"
"3021","Francis J. Myers","January 3, 1945",80,NA,NA,"1901-12-18"
"3022","J. William Fulbright","January 3, 1945",80,NA,NA,"1905-04-09"
"3023","Clyde R. Hoey","January 3, 1945",80,NA,NA,"1877-12-11"
"3024","Forrest C. Donnell","January 3, 1945",80,NA,NA,"1884-08-20"
"3025","Bourke B. Hickenlooper","January 3, 1945",80,NA,NA,"1896-07-21"
"3026","Olin D. Johnston","January 3, 1945",80,NA,NA,"1896-11-18"
"3027","Homer E. Capehart","January 3, 1945",80,NA,NA,"1897-06-06"
"3028","Brien McMahon","January 3, 1945",80,NA,NA,"1903-10-06"
"3029","Wayne Morse","January 3, 1945",80,NA,NA,"1900-10-20"
"3030","Glen H. Taylor","January 3, 1945",80,NA,NA,"1904-04-12"
"3031","Leverett Saltonstall","January 4, 1945",80,NA,NA,"1892-09-01"
"3032","Milton Young","March 12, 1945",80,NA,NA,"1897-12-06"
"3033","William F. Knowland","August 26, 1945",80,NA,NA,"1908-06-26"
"3034","Spessard Holland","September 24, 1946",80,NA,NA,"1892-07-10"
"3035","Ralph Flanders","November 1, 1946",80,NA,NA,"1880-09-28"
"3036","A. Willis Robertson","November 6, 1946",80,NA,NA,"1887-05-27"
"3037","John Sparkman","November 6, 1946",80,NA,NA,"1899-12-20"
"3038","Henry Dworshak","November 6, 1946",80,NA,NA,"1894-08-29"
"3039","John Sherman Cooper","November 6, 1946",80,NA,NA,"1901-08-23"
"3040","William B. Umstead","December 18, 1946",80,NA,NA,"1895-05-13"
"3041","Harry P. Cain","December 26, 1946",80,NA,NA,"1906-01-10"
"3042","Raymond E. Baldwin","December 27, 1946",80,NA,NA,"1893-08-31"
"3043","Henry Cabot Lodge Jr.","January 3, 1947",80,NA,NA,"1902-07-05"
"3044","William E. Jenner","January 3, 1947",80,NA,NA,"1908-07-21"
"3045","Edward Martin","January 3, 1947",80,NA,NA,"1879-09-18"
"3046","John W. Bricker","January 3, 1947",80,NA,NA,"1893-09-06"
"3047","Edward John Thye","January 3, 1947",80,NA,NA,"1896-04-26"
"3048","Herbert O'Conor","January 3, 1947",80,NA,NA,"1896-11-17"
"3049","Irving Ives","January 3, 1947",80,NA,NA,"1896-01-24"
"3050","James P. Kem","January 3, 1947",80,NA,NA,"1890-04-02"
"3051","Joseph McCarthy","January 3, 1947",80,NA,NA,"1908-11-14"
"3052","J. Howard McGrath","January 3, 1947",80,NA,NA,"1903-11-28"
"3053","Zales Ecton","January 3, 1947",80,NA,NA,"1898-04-01"
"3054","Arthur Vivian Watkins","January 3, 1947",80,NA,NA,"1886-12-18"
"3055","John J. Williams","January 3, 1947",80,NA,NA,"1904-05-17"
"3056","George W. Malone","January 3, 1947",80,NA,NA,"1890-08-07"
"3057","Kenneth McKellar","March 4, 1917",81,NA,NA,"1869-01-29"
"3058","Walter F. George","November 22, 1922",81,NA,NA,"1878-01-29"
"3059","Carl Hayden","March 4, 1927",81,NA,NA,"1877-10-02"
"3060","Alben W. Barkley","March 4, 1927",81,NA,NA,"1877-11-24"
"3061","Elmer Thomas","March 4, 1927",81,NA,NA,"1876-09-08"
"3062","Millard Tydings","March 4, 1927",81,NA,NA,"1890-04-06"
"3063","Robert F. Wagner","March 4, 1927",81,NA,NA,"1877-06-08"
"3064","Arthur H. Vandenberg","March 31, 1928",81,NA,NA,"1884-03-22"
"3065","Tom Connally","March 4, 1929",81,NA,NA,"1877-08-19"
"3066","Richard Russell Jr.","January 12, 1933",81,NA,NA,"1897-11-02"
"3067","Harry F. Byrd Sr.","March 4, 1933",81,NA,NA,"1887-06-10"
"3068","Elbert D. Thomas","March 4, 1933",81,NA,NA,"1883-06-17"
"3069","Pat McCarran","March 4, 1933",81,NA,NA,"1876-08-08"
"3070","Joseph C. O'Mahoney","January 1, 1934",81,NA,NA,"1884-11-05"
"3071","James Murray","November 7, 1934",81,NA,NA,"1876-05-03"
"3072","Dennis Chavez","May 11, 1935",81,NA,NA,"1888-04-08"
"3073","Claude Pepper","November 4, 1936",81,NA,NA,"1900-09-08"
"3074","Edwin C. Johnson","January 3, 1937",81,NA,NA,"1884-01-01"
"3075","Theodore F. Green","January 3, 1937",81,NA,NA,"1867-10-02"
"3076","Styles Bridges","January 3, 1937",81,NA,NA,"1898-09-09"
"3077","Allen J. Ellender","January 3, 1937",81,NA,NA,"1890-09-24"
"3078","Joseph L. Hill","January 11, 1938",81,NA,NA,"1894-12-29"
"3079","Scott W. Lucas","January 3, 1939",81,NA,NA,"1892-02-19"
"3080","Charles W. Tobey","January 3, 1939",81,NA,NA,"1880-07-22"
"3081","Clyde M. Reed","January 3, 1939",81,NA,NA,"1871-10-19"
"3082","Robert A. Taft","January 3, 1939",81,NA,NA,"1889-09-08"
"3083","Sheridan Downey","January 3, 1939",81,NA,NA,"1884-03-11"
"3084","Alexander Wiley","January 3, 1939",81,NA,NA,"1884-05-26"
"3085","John Chandler Gurney","January 3, 1939",81,NA,NA,"1896-05-21"
"3086","Ralph Owen Brewster","January 3, 1941",81,NA,NA,"1888-02-22"
"3087","William Langer","January 3, 1941",81,NA,NA,"1886-09-30"
"3088","Harley M. Kilgore","January 3, 1941",81,NA,NA,"1893-01-11"
"3089","Hugh A. Butler","January 3, 1941",81,NA,NA,"1878-02-28"
"3090","Ernest McFarland","January 3, 1941",81,NA,NA,"1894-10-09"
"3091","George Aiken","January 10, 1941",81,NA,NA,"1892-08-20"
"3092","Burnet R. Maybank","November 5, 1941",81,NA,NA,"1899-03-07"
"3093","Eugene D. Millikin","December 20, 1941",81,NA,NA,"1891-02-12"
"3094","James Eastland","January 3, 1943",81,NA,NA,"1904-11-28"
"3095","John Little McClellan","January 3, 1943",81,NA,NA,"1896-02-25"
"3096","Homer S. Ferguson","January 3, 1943",81,NA,NA,"1889-02-25"
"3097","Kenneth S. Wherry","January 3, 1943",81,NA,NA,"1892-02-28"
"3098","Guy Cordon","March 4, 1944",81,NA,NA,"1890-04-24"
"3099","Howard A. Smith","December 7, 1944",81,NA,NA,"1883-02-02"
"3100","Warren G. Magnuson","December 14, 1944",81,NA,NA,"1905-04-12"
"3101","Francis J. Myers","January 3, 1945",81,NA,NA,"1901-12-18"
"3102","J. William Fulbright","January 3, 1945",81,NA,NA,"1905-04-09"
"3103","Clyde R. Hoey","January 3, 1945",81,NA,NA,"1877-12-11"
"3104","Forrest C. Donnell","January 3, 1945",81,NA,NA,"1884-08-20"
"3105","Bourke B. Hickenlooper","January 3, 1945",81,NA,NA,"1896-07-21"
"3106","Olin D. Johnston","January 3, 1945",81,NA,NA,"1896-11-18"
"3107","Homer E. Capehart","January 3, 1945",81,NA,NA,"1897-06-06"
"3108","Brien McMahon","January 3, 1945",81,NA,NA,"1903-10-06"
"3109","Wayne Morse","January 3, 1945",81,NA,NA,"1900-10-20"
"3110","Glen H. Taylor","January 3, 1945",81,NA,NA,"1904-04-12"
"3111","Leverett Saltonstall","January 4, 1945",81,NA,NA,"1892-09-01"
"3112","Milton Young","March 12, 1945",81,NA,NA,"1897-12-06"
"3113","William F. Knowland","August 26, 1945",81,NA,NA,"1908-06-26"
"3114","Spessard Holland","September 24, 1946",81,NA,NA,"1892-07-10"
"3115","Ralph Flanders","November 1, 1946",81,NA,NA,"1880-09-28"
"3116","A. Willis Robertson","November 6, 1946",81,NA,NA,"1887-05-27"
"3117","John Sparkman","November 6, 1946",81,NA,NA,"1899-12-20"
"3118","Harry P. Cain","December 26, 1946",81,NA,NA,"1906-01-10"
"3119","Raymond E. Baldwin","December 27, 1946",81,NA,NA,"1893-08-31"
"3120","Henry Cabot Lodge Jr.","January 3, 1947",81,NA,NA,"1902-07-05"
"3121","William E. Jenner","January 3, 1947",81,NA,NA,"1908-07-21"
"3122","Edward Martin","January 3, 1947",81,NA,NA,"1879-09-18"
